customer_id,customer_name,customer_address,customer_contact,customer_email,customer_city,customer_country,customer_segment,customer_registration_date,customer_last_purchase_date
224,Natasha Robinson,"847 Martinez Land Suite 654
Jerrymouth, OR 55588",+1-484-734-2076x41357,rodriguezphilip@example.net,East Annamouth,French Guiana,Wholesale,2024-07-16,2024-06-02
714,Chase Miranda,"441 Contreras Tunnel
Port Colton, LA 78927",(622)755-6239,jeffreygiles@example.com,Georgeshire,Tokelau,Retail,2023-03-22,2024-03-28
135,Tamara Wilson,"0949 Meyer Pines
Lake Michaelborough, NJ 91525",569-299-7651x0548,floydkimberly@example.org,Richardburgh,Trinidad and Tobago,Wholesale,2023-10-06,2024-06-28
634,Tina Rice,"Unit 8779 Box 5090
DPO AP 41495",3302680434,colemanjacqueline@example.net,Natashaburgh,Dominican Republic,Retail,2022-09-10,2024-05-10
595,Jessica Hamilton,"799 Boone Walks Apt. 849
Millermouth, SC 64836",+1-926-361-6738x6633,dawn04@example.org,West Mike,Puerto Rico,Corporate,2020-11-21,2024-04-21
19,Christopher Martinez,"25385 Adam Roads Suite 425
Port Johnstad, FM 29423",+1-806-343-2288x934,jamessmith@example.org,North Shannonport,Lesotho,Corporate,2023-06-27,2024-01-07
724,Mark Campbell,"091 Parker Roads
Davidhaven, AR 95101",6849645341,otate@example.org,New Alexandria,Nepal,Corporate,2024-04-25,2024-05-06
721,Diane Turner,"4311 Butler Parkway Apt. 753
Derrickmouth, FL 46113",602-437-8857,teresa09@example.org,Hickshaven,Ukraine,Retail,2021-07-26,2024-08-05
898,Audrey Rodriguez,"55585 Brian Villages
New Kevin, IN 97528",(461)410-2271,cortezvalerie@example.org,Petersburgh,Estonia,Corporate,2024-06-04,2024-02-02
90,Stacey Edwards,"53051 Wood Vista Apt. 124
South Andrew, MP 11056",(356)673-4346,nicholasfletcher@example.net,Lake Seanborough,Liberia,Wholesale,2020-11-25,2024-05-27
202,Kevin Edwards,"954 Joseph Trafficway Suite 066
East Madeline, KS 48017",(250)596-0284,jessica82@example.net,Trevinoside,United States Minor Outlying Islands,Retail,2020-03-19,2024-04-04
791,Christopher Obrien,"2052 Oconnor Ville Apt. 467
Timothyside, LA 43541",255.513.8178,nichole48@example.net,Garybury,Cayman Islands,Corporate,2023-05-17,2024-05-02
120,Kevin Munoz,"695 Randall Station Apt. 105
Smithmouth, NV 07470",+1-959-715-0593x573,hfloyd@example.net,Port Darrell,Kiribati,Wholesale,2020-08-25,2024-07-21
777,Jonathan Cox,"03819 Daniel Gardens Suite 564
Port Davidfort, FL 97240",+1-590-548-8819x41816,igregory@example.org,Port Andrew,Guinea-Bissau,Retail,2024-01-13,2024-04-02
427,Rick Davidson,"898 Michael Circles Suite 999
New Jose, AK 03859",+1-568-501-4921x52862,jessica93@example.com,South Richardmouth,Djibouti,Corporate,2022-07-26,2024-03-30
835,Jamie Rodriguez,"88822 Rebecca Centers Apt. 198
Lake Julie, FM 36802",826-244-5442x870,coreywoods@example.com,Port Natalie,Azerbaijan,Corporate,2020-04-30,2024-03-19
23,Daniel Kent,"876 Isabella Turnpike Suite 612
Potterton, NY 56107",(240)837-2596,rachel47@example.net,Barkerland,Jordan,Wholesale,2024-06-30,2024-01-31
313,Harry Holland,"PSC 2614, Box 4603
APO AE 48894",5532156674,matthew70@example.org,Port Davidburgh,Djibouti,Wholesale,2020-09-13,2024-06-27
244,Brian Robinson,"2384 Jackson Plains Apt. 682
East Brianborough, PA 98997",001-389-688-6161,nathanlloyd@example.org,East Robert,Cuba,Corporate,2021-07-09,2024-06-23
480,Makayla Schmidt,"375 Acevedo Coves Apt. 349
Danielstad, VT 48430",(292)318-1379,vfreeman@example.org,Ibarrahaven,Georgia,Wholesale,2021-06-14,2024-06-26
550,Tammy Benson,"81741 Tanya Circles
Deborahtown, AK 96444",5665959683,jessica08@example.com,Danielburgh,Liberia,Retail,2024-01-21,2024-05-19
